Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
female,28.6,Verified,Heterosexual,Submisive,Nobody_but_maybe,before_1_days,2017-05-01,57,0.0,1.0,No_risk,05,0 days 00:47:00.000000000,5.0
male,24.6,Non_Verified,Heterosexual,Dominant,Nobody,before_1_days,2017-01-25,0,0.0,0.0,No_risk,00,0 days 00:00:00.000000000,2.0
male,42.6,Non_Verified,Heterosexual,Switch,Women,before_30_days,2017-01-28,0,0.0,0.0,No_risk,00,0 days 00:31:00.000000000,
female,20.7,Non_Verified,Heterosexual,Submisive,Nobody,before_3_days,2017-09-02,17,0.0,1.0,No_risk,00,0 days 00:19:00.000000000,9.0
male,40.4,Non_Verified,Heterosexual,Switch,Women,before_16_days,2017-03-15,47,0.0,0.0,No_risk,00,0 days 00:16:00.000000000,1.0
male,35.5,Non_Verified,Heterosexual,Dominant,Women,before_3_days,2017-03-29,0,0.0,0.0,No_risk,00,0 days 00:25:00.000000000,
male,24.0,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_1_days,2017-04-15,8,0.0,2.0,No_risk,00,0 days 00:00:00.000000000,
male,52.3,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2012-02-07,120,0.0,0.0,No_risk,00,0 days 06:46:00.000000000,
male,47.2,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1_days,2012-02-07,78,0.0,16.0,No_risk,00,0 days 00:26:00.000000000,3.0
male,31.4,Non_Verified,Heterosexual,Dominant,Nobody,before_1_days,2012-03-07,7,0.0,0.0,No_risk,18,0 days 13:42:00.000000000,18.0
male,41.0,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2012-05-07,34,0.0,0.0,No_risk,00,0 days 04:50:00.000000000,
male,36.0,Non_Verified,bicurious,Submisive,Men_and_Women,before_7_days,2012-09-07,4,0.0,0.0,No_risk,00,0 days 00:37:00.000000000,5.0
male,28.7,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_3_days,2009-09-11,96,0.0,0.0,No_risk,09,0 days 15:18:00.000000000,2.0
male,41.7,Verified,Heterosexual,Dominant,Women,before_3_days,2012-08-08,771,0.0,33.0,No_risk,00,0 days 09:19:00.000000000,22.0
male,40.8,Non_Verified,Heterosexual,Switch,Women,before_1_days,2010-02-05,0,0.0,2.0,No_risk,00,0 days 01:09:00.000000000,1.0
male,31.8,Non_Verified,Homosexual,Switch,Men,before_64_days,2012-08-25,92,0.0,33.0,No_risk,00,0 days 00:05:00.000000000,15.0
female,49.9,Verified,bisexual,Dominant,Men_and_Women,before_89_days,2012-08-27,267,0.0,5.0,No_risk,02,0 days 09:57:00.000000000,11.0
male,35.7,Non_Verified,Heterosexual,Submisive,Women,before_4_days,2012-11-17,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,41.1,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_1_days,2012-11-12,1,0.0,0.0,High_risk,00,0 days 00:18:00.000000000,1.0
male,49.6,Non_Verified,Heterosexual,Submisive,Nobody,before_11_days,2010-09-08,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,27.9,Non_Verified,bicurious,Submisive,Nobody,before_6_days,2013-08-01,0,0.0,0.0,High_risk,00,0 days 05:50:00.000000000,3.0
male,52.3,Non_Verified,Heterosexual,Submisive,Nobody,before_424_days,2013-10-02,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
male,27.3,Non_Verified,Heterosexual,Submisive,Women,before_1_days,2013-12-05,0,0.0,0.0,High_risk,00,0 days 00:59:00.000000000,
female,45.0,Non_Verified,Heterosexual,Dominant,Nobody,before_11_days,2013-07-14,41,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,3.0
female,33.8,Non_Verified,bicurious,Switch,Men_and_Women,before_1306_days,2013-09-13,1,0.0,0.0,High_risk,01,0 days 17:48:00.000000000,3.0
male,35.2,Non_Verified,Heterosexual,Submisive,Women,before_1255_days,2013-11-11,0,0.0,0.0,High_risk,00,0 days 00:00:00.000000000,
