Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
male,36.1,Non_Verified,Heterosexual,Dominant,Nobody,before_2397_days,2010-06-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.3,Non_Verified,Heterosexual,Submisive,Women,before_4_days,2013-03-04,0,0.0,0.0,unknown_risk,00,0 days 01:39:00.000000000,
female,36.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1487_days,2013-03-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.2,Non_Verified,Heterosexual,Dominant,Nobody,before_2397_days,2010-06-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.8,Non_Verified,bicurious,Submisive,Nobody,before_1487_days,2013-03-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,25.2,Non_Verified,bicurious,Submisive,Nobody,before_327_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1486_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.2,Non_Verified,Heterosexual,Submisive,Nobody,before_1485_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.0,Non_Verified,Heterosexual,Dominant,Nobody,before_1486_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,29.5,Non_Verified,Heterosexual,Submisive,Men,before_11_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 01:14:00.000000000,3.0
male,33.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1_days,2010-06-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.6,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_159_days,2013-04-04,0,3.0,0.0,unknown_risk,00,0 days 03:41:00.000000000,4.0
male,40.9,Non_Verified,Heterosexual,Dominant,Women,before_418_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,51.1,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_122_days,2013-04-04,0,0.0,4.0,unknown_risk,00,0 days 00:05:00.000000000,
female,29.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1169_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,52.6,Non_Verified,bisexual,Switch,Nobody,before_2397_days,2010-06-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.4,Non_Verified,Heterosexual,Dominant,Nobody,before_1486_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,28.7,Non_Verified,Heterosexual,Submisive,Men,before_1462_days,2013-04-04,0,0.0,1.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.5,Non_Verified,Heterosexual,Switch,Nobody,before_1456_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 04:55:00.000000000,
male,43.2,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_828_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.1,Non_Verified,bicurious,Submisive,Nobody,before_71_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,57.8,Non_Verified,Heterosexual,Dominant,Nobody,before_878_days,2010-06-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.2,Non_Verified,Heterosexual,Dominant,Women,before_107_days,2013-04-04,2,0.0,0.0,unknown_risk,00,0 days 09:30:00.000000000,8.0
male,43.6,Non_Verified,Homosexual,Switch,Men,before_1461_days,2013-04-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.1,Non_Verified,Heterosexual,Switch,Nobody,before_1012_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:25:00.000000000,1.0
male,29.3,Non_Verified,bicurious,Dominant,Nobody,before_1484_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.0,Non_Verified,Heterosexual,Submisive,Women,before_1482_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:48:00.000000000,
female,44.2,Non_Verified,bisexual,Dominant,Nobody,before_1485_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,44.2,Non_Verified,bisexual,Dominant,Women,before_719_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1220_days,2010-07-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,32.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1485_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:23:00.000000000,
male,53.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1220_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:07:00.000000000,
male,44.6,Non_Verified,Heterosexual,Dominant,Women,before_1457_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.8,Non_Verified,Heterosexual,Switch,Nobody,before_1384_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,32.8,Non_Verified,Heterosexual,Submisive,Nobody,before_1483_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,35.3,Non_Verified,bisexual,Dominant,Nobody,before_1244_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,53.5,Non_Verified,Heterosexual,Dominant,Nobody,before_2215_days,2010-07-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,28.9,Non_Verified,Heterosexual,Submisive,Nobody,before_507_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,39.7,Verified,Heterosexual,Submisive,Nobody,before_12_days,2013-05-04,1,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.1,Non_Verified,Heterosexual,Switch,Nobody,before_290_days,2013-05-04,4,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
male,32.1,Non_Verified,Homosexual,Dominant,Nobody,before_1483_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,25.4,Non_Verified,Heterosexual,Submisive,Nobody,before_2294_days,2010-07-10,0,0.0,1.0,unknown_risk,00,0 days 00:00:00.000000000,
male,51.0,Non_Verified,Heterosexual,Switch,Men_and_Women,before_1483_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,24.6,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_778_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.6,Non_Verified,Heterosexual,Submisive,Nobody,before_1484_days,2013-05-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.1,Non_Verified,Heterosexual,Dominant,Women,before_1439_days,2013-05-04,0,0.0,2.0,unknown_risk,00,0 days 00:00:00.000000000,1.0
female,38.7,Non_Verified,Homosexual,Submisive,Nobody,before_18_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:22:00.000000000,
male,51.3,Non_Verified,Heterosexual,Dominant,Nobody,before_978_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,51.6,Non_Verified,Heterosexual,Switch,Nobody,before_99_days,2010-07-10,0,0.0,0.0,unknown_risk,00,0 days 00:06:00.000000000,
male,23.8,Non_Verified,Heterosexual,Dominant,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.0,Non_Verified,Heterosexual,Dominant,Nobody,before_1214_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 02:08:00.000000000,
male,29.6,Non_Verified,Heterosexual,Dominant,Nobody,before_1466_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.2,Non_Verified,Heterosexual,Switch,Nobody,before_1444_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,27.4,Non_Verified,Heterosexual,Submisive,Nobody,before_1399_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,1.0
male,41.0,Non_Verified,Heterosexual,Dominant,Women,before_550_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,1.0
male,34.5,Non_Verified,Heterosexual,Dominant,Nobody,before_1444_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,47.1,Non_Verified,Heterosexual,Dominant,Nobody,before_738_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,37.2,Non_Verified,bisexual,Dominant,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,29.1,Non_Verified,Heterosexual,Submisive,Nobody,before_1010_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,27.3,Non_Verified,bisexual,Submisive,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.8,Non_Verified,Heterosexual,Submisive,Nobody,before_854_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,29.2,Non_Verified,Heterosexual,Submisive,Men,before_1483_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:27:00.000000000,
male,35.1,Non_Verified,bisexual,Dominant,Nobody,before_1262_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,56.3,Non_Verified,Heterosexual,Switch,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,27.8,Non_Verified,Heterosexual,Dominant,Women,before_4_days,2013-06-04,27,2.0,0.0,unknown_risk,00,0 days 00:30:00.000000000,
male,40.7,Non_Verified,Homosexual,Submisive,Nobody,before_2370_days,2009-11-22,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,50.2,Non_Verified,bisexual,Dominant,Nobody,before_2257_days,2010-07-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,29.3,Non_Verified,Heterosexual,Switch,Nobody,before_1432_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,48.6,Non_Verified,Heterosexual,Dominant,Nobody,before_1349_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:29:00.000000000,
male,39.9,Non_Verified,Heterosexual,Dominant,Women,before_1_days,2013-06-04,25,0.0,16.0,unknown_risk,14,0 days 08:18:00.000000000,12.0
male,41.8,Non_Verified,bisexual,Submisive,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,39.7,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_877_days,2013-06-04,0,1.0,2.0,unknown_risk,00,0 days 00:00:00.000000000,9.0
female,32.8,Non_Verified,Heterosexual,Submisive,Nobody,before_1484_days,2013-06-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.5,Non_Verified,bicurious,Submisive,Nobody,before_1483_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,45.8,Non_Verified,Heterosexual,Dominant,Women,before_1082_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,44.5,Non_Verified,bisexual,Submisive,Nobody,before_813_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,34.9,Non_Verified,Heterosexual,Submisive,Nobody,before_600_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,35.0,Verified,Heterosexual,Dominant,Women,before_655_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,5.0
female,22.8,Non_Verified,Heterosexual,Submisive,Nobody,before_168_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,30.7,Non_Verified,Heterosexual,Dominant,Nobody,before_1009_days,2013-07-04,3,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,47.3,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_969_days,2013-07-04,3,0.0,0.0,unknown_risk,00,0 days 05:26:00.000000000,1.0
male,41.3,Non_Verified,Heterosexual,Submisive,Women,before_193_days,2013-07-04,1,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.8,Non_Verified,bisexual,Switch,Nobody,before_1483_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,33.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1483_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,34.7,Non_Verified,bisexual,Switch,Nobody,before_140_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.3,Non_Verified,bisexual,Submisive,Nobody,before_708_days,2013-07-04,0,0.0,1.0,unknown_risk,00,0 days 00:00:00.000000000,
male,46.0,Verified,bisexual,Dominant,Men_and_Women,before_44_days,2010-09-10,9,0.0,18.0,unknown_risk,00,0 days 00:31:00.000000000,
female,29.2,Non_Verified,Heterosexual,Submisive,Nobody,before_1483_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,51.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1420_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:05:00.000000000,2.0
male,35.5,Non_Verified,Heterosexual,Submisive,Nobody,before_1480_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
male,28.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1432_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 01:05:00.000000000,
male,57.3,Non_Verified,bisexual,Submisive,Nobody,before_2202_days,2010-09-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,29.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1483_days,2013-07-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,42.7,Non_Verified,bicurious,Switch,Nobody,before_1479_days,2013-08-04,0,0.0,2.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.3,Non_Verified,Heterosexual,Switch,Nobody,before_1482_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,71.1,Non_Verified,Heterosexual,Switch,Nobody,before_1481_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,29.7,Non_Verified,Homosexual,Submisive,Nobody,before_1474_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,22.6,Non_Verified,bisexual,Dominant,Nobody,before_1400_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.4,Non_Verified,Heterosexual,Dominant,Women,before_6_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:52:00.000000000,
female,42.9,Non_Verified,bicurious,Submisive,Nobody,before_1474_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:05:00.000000000,
male,39.8,Verified,Heterosexual,Dominant,Women,before_733_days,2013-08-04,0,0.0,1.0,unknown_risk,00,0 days 06:44:00.000000000,3.0
male,43.6,Non_Verified,Heterosexual,Switch,Nobody,before_1470_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.6,Non_Verified,Homosexual,Dominant,Nobody,before_607_days,2010-10-10,0,0.0,1.0,unknown_risk,00,0 days 00:00:00.000000000,
female,23.4,Non_Verified,Heterosexual,Dominant,Nobody,before_1482_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,56.0,Non_Verified,Heterosexual,Dominant,Nobody,before_1482_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.8,Non_Verified,Heterosexual,Dominant,Nobody,before_1479_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,22.7,Non_Verified,Heterosexual,Submisive,Men,before_1335_days,2013-08-04,2,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,22.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1482_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,28.3,Non_Verified,bisexual,Switch,Nobody_but_maybe,before_139_days,2013-08-04,32,0.0,4.0,unknown_risk,03,0 days 15:32:00.000000000,1.0
female,28.9,Non_Verified,Homosexual,Submisive,Nobody,before_1357_days,2013-08-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,27.7,Non_Verified,Heterosexual,Submisive,Nobody,before_2364_days,2010-10-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,40.8,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,before_1447_days,2013-09-04,1,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,27.2,Non_Verified,Heterosexual,Submisive,Nobody,before_1240_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.7,Non_Verified,bicurious,Submisive,Nobody,before_6_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,42.5,Non_Verified,Heterosexual,Dominant,Women,before_436_days,2013-09-04,3,0.0,0.0,unknown_risk,00,0 days 01:12:00.000000000,
male,29.1,Non_Verified,Heterosexual,Submisive,Nobody,before_1481_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,53.2,Non_Verified,Heterosexual,Dominant,Nobody,before_1447_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,33.5,Non_Verified,Heterosexual,Dominant,Nobody,before_1481_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.5,Non_Verified,Heterosexual,Dominant,Nobody,before_1244_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,49.2,Non_Verified,Heterosexual,Switch,Nobody,before_1124_days,2010-10-10,0,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,
male,42.5,Non_Verified,Heterosexual,Submisive,Men_and_Women,before_1236_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,40.6,Non_Verified,Heterosexual,Dominant,Men,before_1478_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.3,Non_Verified,Heterosexual,Submisive,Men_and_Women,before_263_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.2,Non_Verified,Heterosexual,Switch,Women,before_1263_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:16:00.000000000,
male,35.0,Non_Verified,Heterosexual,Dominant,Women,before_14_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,
male,29.7,Non_Verified,Heterosexual,Switch,Women,before_491_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 11:07:00.000000000,
female,29.5,Non_Verified,bisexual,Switch,Nobody,before_2393_days,2010-10-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,29.4,Non_Verified,Heterosexual,Switch,Nobody,before_12_days,2013-09-04,7,2.0,0.0,unknown_risk,00,0 days 09:42:00.000000000,11.0
male,41.5,Non_Verified,Heterosexual,Submisive,Nobody,before_1480_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,22.8,Non_Verified,bisexual,Switch,Men_and_Women,before_76_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.8,Non_Verified,Heterosexual,Dominant,Nobody,before_1481_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.3,Non_Verified,Heterosexual,Submisive,Nobody,before_1480_days,2013-09-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,25.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,33.3,Non_Verified,Heterosexual,Dominant,Women,before_223_days,2009-01-11,6,0.0,0.0,unknown_risk,00,0 days 02:08:00.000000000,
male,36.2,Non_Verified,Heterosexual,Submisive,Women,before_6_days,2010-10-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.8,Verified,Heterosexual,Dominant,Women,before_498_days,2013-10-04,0,0.0,12.0,unknown_risk,00,0 days 01:49:00.000000000,
male,44.2,Non_Verified,Heterosexual,Submisive,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,54.7,Non_Verified,bicurious,Submisive,Nobody,before_1375_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
male,34.6,Non_Verified,Heterosexual,Dominant,Nobody,before_1304_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.9,Non_Verified,Heterosexual,Switch,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.9,Non_Verified,Heterosexual,Switch,Nobody,before_38_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 02:29:00.000000000,3.0
male,37.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1079_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,30.7,Non_Verified,bisexual,Submisive,Men_and_Women,before_1140_days,2013-10-04,0,0.0,1.0,unknown_risk,00,0 days 00:00:00.000000000,
female,38.9,Non_Verified,Heterosexual,Submisive,Nobody,before_1_days,2013-10-04,15,10.0,0.0,unknown_risk,04,0 days 06:41:00.000000000,29.0
male,40.9,Non_Verified,Heterosexual,Switch,Nobody,before_970_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,52.6,Non_Verified,bisexual,Submisive,Men_and_Women,before_1204_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,45.6,Non_Verified,Heterosexual,Switch,Nobody,before_1177_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 01:02:00.000000000,
male,23.0,Non_Verified,bicurious,Submisive,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,47.3,Non_Verified,Homosexual,Submisive,Nobody,before_1944_days,2010-11-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,27.0,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,before_1477_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,39.6,Verified,bicurious,Switch,Nobody_but_maybe,before_1266_days,2013-10-04,153,0.0,6.0,unknown_risk,03,0 days 15:54:00.000000000,3.0
female,43.7,Non_Verified,Heterosexual,Dominant,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,42.5,Non_Verified,Heterosexual,Dominant,Nobody,before_1436_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.8,Non_Verified,Heterosexual,Submisive,Nobody,before_1919_days,2010-11-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,28.0,Non_Verified,bisexual,Switch,Nobody,before_1480_days,2013-10-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,36.2,Non_Verified,Heterosexual,Dominant,Nobody,before_1479_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,45.7,Non_Verified,Heterosexual,Dominant,Nobody,before_939_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,36.1,Verified,Heterosexual,Dominant,Women,before_146_days,2013-11-04,1,0.0,0.0,unknown_risk,00,0 days 01:21:00.000000000,
male,38.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1451_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:48:00.000000000,
male,47.4,Non_Verified,Heterosexual,Submisive,Women,before_1479_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,31.5,Non_Verified,Heterosexual,Submisive,Nobody,before_1370_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.1,Non_Verified,bisexual,Submisive,Nobody,before_2391_days,2010-12-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,48.4,Non_Verified,Heterosexual,Submisive,Nobody,before_1409_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,27.5,Non_Verified,bicurious,Submisive,Men_and_Women,before_76_days,2013-11-04,0,0.0,4.0,unknown_risk,00,0 days 00:14:00.000000000,
male,40.8,Non_Verified,Heterosexual,Submisive,Nobody,before_161_days,2013-11-04,5,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,1.0
male,29.1,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,before_893_days,2013-11-04,0,0.0,0.0,unknown_risk,01,0 days 07:33:00.000000000,
male,38.5,Non_Verified,Heterosexual,Submisive,Nobody,before_1469_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.3,Non_Verified,Homosexual,Submisive,Nobody,before_2280_days,2010-12-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,62.7,Non_Verified,bisexual,Dominant,Nobody,before_1343_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,
male,32.9,Non_Verified,Heterosexual,Submisive,Women,before_1299_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,43.8,Non_Verified,Heterosexual,Dominant,Women,before_1423_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,43.7,Non_Verified,Heterosexual,Dominant,Nobody,before_1479_days,2013-11-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,40.7,Non_Verified,Heterosexual,Switch,Nobody,before_1442_days,2013-12-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,27.2,Non_Verified,bicurious,Switch,Nobody,before_1478_days,2013-12-04,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,23.2,Non_Verified,Heterosexual,Submisive,Nobody,before_1475_days,2013-12-04,0,0.0,0.0,unknown_risk,00,0 days 00:01:00.000000000,
female,28.3,Non_Verified,Heterosexual,Submisive,Nobody,before_19_days,2013-12-04,0,0.0,0.0,unknown_risk,00,0 days 00:40:00.000000000,1.0
male,44.5,Non_Verified,Heterosexual,Dominant,Women,before_3_days,2013-12-04,0,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,
male,44.1,Non_Verified,Homosexual,Submisive,Nobody,before_1572_days,2010-12-10,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
