,gender,sexuallity,age,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,edu_level
274,Male,Straight,20,White non-Hispanic,Normal weight,Yes,Yes,No,0,No,Bachelor’s degree
275,Male,Straight,18,White non-Hispanic,Normal weight,Yes,No,No,5,No,"Some college, no degree"
276,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,1,Yes,"Some high school, no diploma"
277,Male,Straight,26,White non-Hispanic,Normal weight,Yes,No,No,0,No,"Some college, no degree"
278,Male,Straight,22,Black,Normal weight,Yes,No,No,25,Yes,"Some college, no degree"
279,Male,Straight,23,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Associate degree
280,Female,Bisexual,41,White non-Hispanic,Overweight,No,No,No,1,Yes,"Some college, no degree"
281,Male,Straight,28,Asian,Normal weight,No,No,Yes and I have,4,Yes,Professional degree
282,Male,Straight,29,Asian,Overweight,Yes,No,Yes but I haven't,8,Yes,Bachelor’s degree
283,Female,Straight,19,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,"Some college, no degree"
284,Male,Straight,21,White non-Hispanic,Overweight,Yes,No,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
285,Male,Straight,19,Asian,Normal weight,Yes,No,No,20,No,Bachelor’s degree
286,Male,Straight,19,White non-Hispanic,Underweight,Yes,No,No,1,Yes,"Some college, no degree"
287,Male,Straight,20,Hispanic (of any race),Normal weight,No,Yes,Yes and I have,7,Yes,"Some college, no degree"
288,Male,Straight,22,White non-Hispanic,Normal weight,Yes,Yes,No,0,Yes,"Some college, no degree"
289,Male,Straight,20,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
290,Male,Bisexual,25,White non-Hispanic,Normal weight,No,No,Yes but I haven't,7,Yes,"Some college, no degree"
291,Male,Straight,30,Mixed white/asian,Overweight,Yes,No,No,4,Yes,Master’s degree
292,Male,Straight,30,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,6,No,Bachelor’s degree
293,Male,Straight,22,Mixed,Normal weight,Yes,Yes,No,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
294,Male,Straight,26,White non-Hispanic,Normal weight,Yes,No,No,3,No,Bachelor’s degree
295,Male,Straight,36,White non-Hispanic,Obese,Yes,No,Yes but I haven't,0,Yes,"Some college, no degree"
296,Male,Straight,23,White non-Hispanic,Normal weight,No,No,No,8,Yes,Bachelor’s degree
297,Male,Bisexual,16,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0,Yes,"High school graduate, diploma or the equivalent (for example: GED)"
298,Female,Straight,25,Asian,Normal weight,Yes,No,No,20,No,Bachelor’s degree
299,Female,Straight,37,Asian,Normal weight,Yes,No,No,1,No,Bachelor’s degree
300,Male,Straight,24,White non-Hispanic,Underweight,Yes,No,No,2,Yes,"Some college, no degree"
301,Male,Straight,21,Indian,Overweight,Yes,No,No,0,No,"Some college, no degree"
302,Male,Straight,18,White non-Hispanic,Overweight,No,No,Yes but I haven't,4,Yes,"Some high school, no diploma"
303,Male,Straight,23,White non-Hispanic,Normal weight,No,No,No,20,No,Bachelor’s degree
